ESTADILLO_P;Parcela_P;Monte_P;Estrato_P;PROYECTO_P;ID_DESCARGA_P;FECHA_DESCARGA_P;RUTA_ARCHIVO_P;ID_FORCIPULA_P;ARBOL NRO_A;D_A;Especie_A;Forma_cub_A;Tipo_A;Ho/HD_A;Edad/EC_A;ID_ARBOL_A;ID_PARCELA;PROYECTO_A;ID_DESCARGA_A;ID_JOIN
2;1013;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;6;472;P. pinea;5;Modelo 1;146;0;5;2;0329;2;5
2;1013;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;7;442;P. pinea;5;Modelo 2;150;0;6;2;0329;2;6
2;1013;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;8;440;P. pinea;5;Dominante;130;56;7;2;0329;2;7
3;1014;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;9;489;P. pinea;2;Modelo 1;168;0;8;3;0329;2;8
3;1014;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;10;471;P. pinea;2;Modelo 2;161;0;9;3;0329;2;9
3;1014;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;11;492;P. pinea;2;Modelo 3;169;0;10;3;0329;2;10
3;1014;Lugar Nuev;P. pinea;0329;2;04/04/2017;MMJ_0216;1;12;507;P. pinea;2;Dominante;160;59;11;3;0329;2;11
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;13;343;P. pinaster;5;Normal;0;0;12;4;0329;2;12
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;14;310;P. pinaster;5;Normal;0;0;13;4;0329;2;13
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;15;289;P. pinaster;5;Normal;0;0;14;4;0329;2;14
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;16;227;Q. ilex;4;Normal;0;0;15;4;0329;2;15
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;17;78;Q. ilex;4;Normal;0;0;16;4;0329;2;16
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;18;354;P. pinaster;5;Normal;0;0;17;4;0329;2;17
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;19;143;Q. ilex;4;Normal;0;0;18;4;0329;2;18
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;20;275;P. pinaster;5;Modelo 1;78;0;19;4;0329;2;19
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;21;334;P. pinaster;5;Modelo 2;113;0;20;4;0329;2;20
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;22;300;P. pinaster;5;Modelo 3;91;0;21;4;0329;2;21
4;1309;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;23;451;P. pinaster;5;Dominante;113;49;22;4;0329;2;22
5;1313;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;24;303;P. pinaster;5;Modelo 1;103;0;23;5;0329;2;23
5;1313;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;25;283;P. pinaster;5;Modelo 2;101;0;24;5;0329;2;24
5;1313;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;26;389;P. pinaster;5;Modelo 3;104;0;25;5;0329;2;25
5;1313;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;27;269;P. pinaster;5;Normal;0;0;26;5;0329;2;26
5;1313;Lugar Nuev;P. pinaste;0329;2;04/04/2017;MMJ_0216;1;28;305;P. pinaster;5;Dominante;98;43;27;5;0329;2;27
1;1420;Lugar Nuev;Q. ilex;0329;3;04/04/2017;MMJ_0217;1;0;277;Q. ilex;4;Modelo 1;78;0;28;6;0329;3;28
1;1420;Lugar Nuev;Q. ilex;0329;3;04/04/2017;MMJ_0217;1;1;234;Q. ilex;4;Modelo 2;57;0;29;6;0329;3;29
1;1420;Lugar Nuev;Q. ilex;0329;3;04/04/2017;MMJ_0217;1;2;184;Q. ilex;4;Modelo 3;59;0;30;6;0329;3;30
1;1420;Lugar Nuev;Q. ilex;0329;3;04/04/2017;MMJ_0217;1;3;196;Q. ilex;4;Normal;0;0;31;6;0329;3;31
1;1420;Lugar Nuev;Q. ilex;0329;3;04/04/2017;MMJ_0217;1;4;254;Q. ilex;4;Normal;0;0;32;6;0329;3;32
