id;id_arbol;d1;especie;forma_cub;tipo;h;estadillo;parcela;filename;estrato;fecha;Edad/EC;especie_cod_ifn;especie_nombre_ifn;dn_cm;h_m;radio_parcela
1;0;219;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;21.9;0;14.1
1;1;189;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;18.9;0;14.1
1;2;194;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;19.4;0;14.1
1;3;223;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;22.3;0;14.1
1;4;164;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;16.4;0;14.1
1;5;139;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;13.9;0;14.1
1;6;178;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;17.8;0;14.1
1;7;249;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;24.9;0;14.1
1;8;187;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;18.7;0;14.1
1;9;272;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;27.2;0;14.1
1;10;110;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;11;0;14.1
1;11;127;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;12.7;0;14.1
1;12;132;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;13.2;0;14.1
1;13;127;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;12.7;0;14.1
1;14;110;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;11;0;14.1
1;15;88;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;8.8;0;14.1
1;16;99;P. pinaste;3;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;9.9;0;14.1
1;17;172;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;17.2;0;14.1
1;18;117;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;11.7;0;14.1
1;19;176;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;17.6;0;14.1
1;20;189;P. pinaste;5;Normal;0;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;18.9;0;14.1
1;21;194;P. pinaste;5;Modelo 1;67;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;19.4;6.7;14.1
2;22;139;P. pinaste;5;Modelo 2;72;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;0;26;Pinus pinaster;13.9;7.2;14.1
2;23;217;P. pinaste;5;Dominante;68;1;1096;JMX_0605.xlsx;P. pinaste;08/03/2021;21;26;Pinus pinaster;21.7;6.8;14.1
2;24;124;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.4;0;14.1
2;25;81;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.1;0;14.1
2;26;145;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;14.5;0;14.1
2;27;93;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.3;0;14.1
2;28;102;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10.2;0;14.1
2;29;145;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;14.5;0;14.1
2;30;135;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;13.5;0;14.1
2;31;78;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;7.8;0;14.1
2;32;136;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;13.6;0;14.1
2;33;102;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10.2;0;14.1
2;34;100;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10;0;14.1
2;35;153;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;15.3;0;14.1
2;36;96;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.6;0;14.1
3;37;90;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9;0;14.1
3;38;90;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9;0;14.1
3;39;142;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;14.2;0;14.1
3;40;85;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.5;0;14.1
3;41;117;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;11.7;0;14.1
3;42;82;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.2;0;14.1
3;43;99;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.9;0;14.1
3;44;124;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.4;0;14.1
3;45;106;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10.6;0;14.1
3;46;118;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;11.8;0;14.1
3;47;124;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.4;0;14.1
3;48;95;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.5;0;14.1
3;49;89;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.9;0;14.1
3;50;97;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.7;0;14.1
3;51;124;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.4;0;14.1
3;52;100;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10;0;14.1
3;53;124;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.4;0;14.1
3;54;100;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10;0;14.1
3;55;93;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.3;0;14.1
3;56;109;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10.9;0;14.1
3;57;82;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.2;0;14.1
3;58;103;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10.3;0;14.1
3;59;81;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.1;0;14.1
3;60;82;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.2;0;14.1
4;61;128;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.8;0;14.1
4;62;118;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;11.8;0;14.1
4;63;110;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;11;0;14.1
4;64;100;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10;0;14.1
4;65;134;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;13.4;0;14.1
4;66;113;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;11.3;0;14.1
4;67;75;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;7.5;0;14.1
4;68;90;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9;0;14.1
4;69;102;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;10.2;0;14.1
4;70;81;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;8.1;0;14.1
4;71;65;P. pinaste;5;Normal;0;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;6.5;0;14.1
4;72;190;P. pinaste;5;Dominante;58;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;26;26;Pinus pinaster;19;5.8;14.1
4;73;121;P. pinaste;5;Modelo 1;42;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;12.1;4.2;14.1
4;74;110;P. pinaste;5;Modelo 2;40;3;101;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;11;4;14.1
4;75;99;P. pinaste;5;Normal;0;5;102;JMX_0605.xlsx;P. pinaste;01/03/2021;0;26;Pinus pinaster;9.9;0;14.1
